,tempC,windspeedKmph,humidity,pressureMB
2024-04-03 09:00:00,18.542803,9.711151,81.1707,1008.493
2024-04-03 10:00:00,19.569942,10.326287,76.98938,1008.67847
2024-04-03 11:00:00,20.736782,10.982042,72.174416,1008.765
2024-04-03 12:00:00,21.947319,11.598605,67.136475,1008.74133
2024-04-03 13:00:00,23.092163,12.104301,62.37829,1008.6051
2024-04-03 14:00:00,24.086834,12.456269,58.33855,1008.38104
2024-04-03 15:00:00,24.871897,12.6522455,55.305332,1008.1017
2024-04-03 16:00:00,25.414696,12.715303,53.36044,1007.7965
2024-04-03 17:00:00,25.675882,12.658105,52.62401,1007.50696
2024-04-03 18:00:00,25.628145,12.489633,53.167355,1007.2654
2024-04-03 19:00:00,25.291662,12.222285,54.860588,1007.08606
2024-04-03 20:00:00,24.697893,11.865711,57.591427,1006.9803
2024-04-03 21:00:00,23.90086,11.439767,61.192345,1006.94495
2024-04-03 22:00:00,22.990194,10.971361,65.33327,1006.96606
2024-04-03 23:00:00,22.050583,10.481907,69.64964,1007.0297
2024-04-04 00:00:00,21.148773,9.995051,73.81211,1007.12
2024-04-04 01:00:00,20.333157,9.537149,77.562294,1007.2293
2024-04-04 02:00:00,19.628855,9.131305,80.730354,1007.3538
2024-04-04 03:00:00,19.047327,8.798168,83.256355,1007.49677
2024-04-04 04:00:00,18.599953,8.557319,85.15122,1007.67035
2024-04-04 05:00:00,18.309652,8.428948,86.35393,1007.8774
2024-04-04 06:00:00,18.210157,8.427286,86.75423,1008.11597
2024-04-04 07:00:00,18.33259,8.562432,86.27495,1008.37854
2024-04-04 08:00:00,18.712202,8.844752,84.770515,1008.6439
2024-04-04 09:00:00,19.371826,9.273195,82.11472,1008.8863
2024-04-04 10:00:00,20.286974,9.82635,78.37652,1009.0741
2024-04-04 11:00:00,21.398636,10.457775,73.765236,1009.17615
2024-04-04 12:00:00,22.615358,11.094171,68.65012,1009.17126
2024-04-04 13:00:00,23.826155,11.653939,63.532333,1009.05066
2024-04-04 14:00:00,24.937319,12.076747,58.89009,1008.8282
2024-04-04 15:00:00,25.881472,12.345168,55.07347,1008.53094
2024-04-04 16:00:00,26.613995,12.47843,52.26261,1008.18945
2024-04-04 17:00:00,27.093523,12.501421,50.58567,1007.84283
2024-04-04 18:00:00,27.284851,12.430855,50.122772,1007.52734
2024-04-04 19:00:00,27.178854,12.274889,50.84426,1007.2675
2024-04-04 20:00:00,26.78454,12.035854,52.699474,1007.0802
2024-04-04 21:00:00,26.135887,11.720764,55.583797,1006.96906
2024-04-04 22:00:00,25.299976,11.342073,59.27357,1006.92523
2024-04-04 23:00:00,24.356844,10.912463,63.476433,1006.9349
2024-04-05 00:00:00,23.386007,10.449963,67.86617,1006.98236
2024-04-05 01:00:00,22.45655,9.980343,72.11896,1007.05524
2024-04-05 02:00:00,21.615309,9.53224,75.964325,1007.1459
2024-04-05 03:00:00,20.887566,9.133983,79.23752,1007.2535
2024-04-05 04:00:00,20.288397,8.811742,81.873924,1007.3853
2024-04-05 05:00:00,19.83589,8.588819,83.81574,1007.54767
2024-04-05 06:00:00,19.557365,8.483536,84.97887,1007.7433
2024-04-05 07:00:00,19.48671,8.510919,85.27054,1007.9688
2024-04-05 08:00:00,19.664381,8.685419,84.5458,1008.2096
2024-04-05 09:00:00,20.12546,9.014804,82.65102,1008.4429
2024-04-05 10:00:00,20.874979,9.4926405,79.54043,1008.63934
2024-04-05 11:00:00,21.880627,10.089685,75.30628,1008.7657
2024-04-05 12:00:00,23.06554,10.744241,70.233215,1008.79144
2024-04-05 13:00:00,24.3174,11.369345,64.80266,1008.69794
2024-04-05 14:00:00,25.52781,11.882912,59.549553,1008.4885
2024-04-05 15:00:00,26.615437,12.242272,54.914776,1008.1842
2024-04-05 16:00:00,27.525154,12.454181,51.176064,1007.8147
2024-04-05 17:00:00,28.211838,12.550568,48.503517,1007.418
2024-04-05 18:00:00,28.633596,12.560351,47.00071,1007.0338
2024-04-05 19:00:00,28.7615,12.496701,46.697636,1006.695
2024-04-05 20:00:00,28.582834,12.359949,47.596596,1006.4259
2024-04-05 21:00:00,28.110212,12.14974,49.653275,1006.2387
2024-04-05 22:00:00,27.390179,11.869212,52.725872,1006.1308
2024-04-05 23:00:00,26.49208,11.521513,56.59227,1006.09015
2024-04-06 00:00:00,25.495552,11.112791,60.96834,1006.09955
2024-04-06 01:00:00,24.48026,10.658378,65.52608,1006.14233
2024-04-06 02:00:00,23.512218,10.184163,69.93743,1006.20667
2024-04-06 03:00:00,22.635399,9.723954,73.94032,1006.2875
2024-04-06 04:00:00,21.875242,9.313608,77.374214,1006.38727
2024-04-06 05:00:00,21.250408,8.985168,80.138,1006.5126
2024-04-06 06:00:00,20.783335,8.763842,82.14496,1006.66956
2024-04-06 07:00:00,20.50538,8.66976,83.30168,1006.8602
2024-04-06 08:00:00,20.458887,8.721548,83.46848,1007.0769
2024-04-06 09:00:00,20.689047,8.934301,82.473305,1007.3014
2024-04-06 10:00:00,21.224298,9.314207,80.19053,1007.50696
2024-04-06 11:00:00,22.06106,9.849629,76.59856,1007.66016
2024-04-06 12:00:00,23.147827,10.497064,71.861176,1007.72516
2024-04-06 13:00:00,24.381535,11.175885,66.38671,1007.67255
2024-04-06 14:00:00,25.641396,11.789213,60.73491,1007.49335
2024-04-06 15:00:00,26.82699,12.264962,55.442238,1007.2017
2024-04-06 16:00:00,27.869104,12.58512,50.897526,1006.82544
2024-04-06 17:00:00,28.717098,12.776254,47.34099,1006.40125
2024-04-06 18:00:00,29.324854,12.875229,44.91533,1005.9702
2024-04-06 19:00:00,29.651329,12.902409,43.6933,1005.5713
2024-04-06 20:00:00,29.666656,12.85824,43.715256,1005.23517
2024-04-06 21:00:00,29.363752,12.7372,44.983944,1004.9817
2024-04-06 22:00:00,28.770706,12.537655,47.418938,1004.81586
2024-04-06 23:00:00,27.94669,12.25993,50.850822,1004.72925
